EmployeeID,Year,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,JobLevel,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,retirementType,resignationReason,Attrition
22,2015,50,Travel_Rarely,Sales,8,4,Life Sciences,1,Divorced,96670,3,23,0,28,2,10,1,6,1,2,2,2,Not Applicable,Not Applicable,0
23,2015,53,Travel_Rarely,Research & Development,11,4,Life Sciences,2,Married,21480,3,11,0,21,2,5,1,3,3,3,2,3,Not Applicable,Not Applicable,0
24,2015,42,Travel_Rarely,Research & Development,4,4,Life Sciences,1,Married,89260,1,14,0,10,4,20,11,6,2,3,3,1,Not Applicable,Not Applicable,0
25,2015,29,Travel_Frequently,Research & Development,16,4,Medical,1,Single,65130,1,11,1,10,2,10,0,9,2,4,2,3,Not Applicable,Not Applicable,0
26,2015,55,Travel_Rarely,Research & Development,1,4,Other,1,Married,67990,3,11,0,12,2,10,0,8,2,4,3,3,Not Applicable,Not Applicable,0
27,2015,26,Travel_Frequently,Research & Development,9,3,Life Sciences,1,Married,162910,1,22,0,5,3,5,3,3,1,1,3,3,Not Applicable,Not Applicable,0
28,2015,37,Travel_Rarely,Sales,5,1,Marketing,1,Single,27050,1,11,0,17,2,17,5,7,4,4,3,3,Not Applicable,Not Applicable,0
29,2015,44,Travel_Frequently,Research & Development,1,2,Medical,2,Divorced,103330,3,14,1,19,2,1,0,0,4,3,1,2,Resignation,Others,1
30,2015,38,Travel_Rarely,Sales,2,3,Marketing,1,Divorced,44480,9,12,0,10,3,2,1,2,4,4,3,2,Not Applicable,Not Applicable,0
31,2015,26,Travel_Rarely,Research & Development,4,3,Medical,3,Divorced,68540,2,11,0,5,5,3,0,2,1,2,3,2,Resignation,Salary,1
32,2015,28,Travel_Rarely,Research & Development,7,3,Other,1,Single,96370,1,13,0,5,6,5,0,2,4,4,3,2,Not Applicable,Not Applicable,0
33,2015,49,Travel_Frequently,Research & Development,1,1,Medical,2,Single,35910,9,13,0,22,2,3,1,2,3,1,3,3,Not Applicable,Not Applicable,0
34,2015,36,Travel_Rarely,Sales,5,3,Technical Degree,3,Single,54050,4,14,0,10,2,8,7,7,3,2,3,3,Not Applicable,Not Applicable,0
35,2015,31,Travel_Frequently,Research & Development,9,4,Medical,1,Divorced,46840,1,16,1,2,4,2,2,2,4,2,2,3,Not Applicable,Not Applicable,0
36,2015,26,Travel_Rarely,Research & Development,8,3,Medical,2,Single,157870,1,12,2,8,5,8,7,4,4,4,3,3,Resignation,Others,1
37,2015,37,Travel_Frequently,Sales,9,1,Marketing,1,Married,15140,1,14,0,4,3,4,1,2,2,4,2,3,Not Applicable,Not Applicable,0
38,2015,42,Travel_Frequently,Sales,2,2,Marketing,3,Married,29560,5,13,0,23,2,20,4,8,3,2,4,3,Not Applicable,Not Applicable,0
39,2015,18,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Single,23350,1,14,2,0,3,0,0,0,3,3,3,2,Resignation,Stress,1
40,2015,35,Travel_Rarely,Sales,20,2,Life Sciences,1,Married,51540,0,19,0,12,2,11,6,9,3,2,2,2,Not Applicable,Not Applicable,0
41,2015,36,Travel_Frequently,Research & Development,8,3,Other,3,Married,69620,4,12,2,4,2,1,0,0,3,3,3,2,Not Applicable,Not Applicable,0
42,2015,51,Travel_Rarely,Research & Development,2,3,Life Sciences,2,Divorced,56750,5,13,0,13,2,4,1,2,4,2,3,2,Not Applicable,Not Applicable,0
43,2015,41,Travel_Rarely,Research & Development,29,1,Life Sciences,1,Single,23790,1,12,0,22,6,22,0,4,4,2,3,3,Not Applicable,Not Applicable,0
44,2015,18,Travel_Rarely,Sales,7,3,Life Sciences,1,Single,38120,1,15,0,0,3,0,0,0,4,3,3,3,Not Applicable,Not Applicable,0
45,2015,28,Travel_Rarely,Research & Development,9,3,Medical,1,Single,46480,0,23,2,9,2,8,0,7,2,1,3,2,Not Applicable,Not Applicable,0
46,2015,31,Travel_Rarely,Research & Development,8,1,Technical Degree,1,Married,29360,4,12,1,10,2,8,7,7,2,4,2,3,Not Applicable,Not Applicable,0
47,2015,39,Travel_Rarely,Sales,5,4,Marketing,2,Divorced,21050,0,20,0,19,3,18,3,7,3,4,2,3,Not Applicable,Not Applicable,0
48,2015,36,Non-Travel,Research & Development,5,4,Life Sciences,1,Married,85780,7,21,0,11,4,9,0,8,2,2,3,3,Not Applicable,Not Applicable,0
49,2015,32,Travel_Rarely,Sales,2,3,Marketing,2,Married,27060,1,21,1,13,4,13,4,8,4,3,2,3,Not Applicable,Not Applicable,0
50,2015,38,Travel_Rarely,Research & Development,5,2,Life Sciences,3,Married,63840,3,19,2,19,4,10,0,1,1,2,3,2,Not Applicable,Not Applicable,0
51,2015,58,Non-Travel,Research & Development,2,3,Life Sciences,2,Divorced,39680,2,13,2,12,3,5,1,2,4,3,3,2,Not Applicable,Not Applicable,0
52,2015,31,Travel_Rarely,Research & Development,20,1,Technical Degree,3,Married,99070,0,13,1,6,3,5,0,3,3,4,3,2,Not Applicable,Not Applicable,0
53,2015,31,Travel_Rarely,Sales,7,4,Marketing,2,Married,132250,3,21,1,9,2,2,1,0,1,1,3,3,Not Applicable,Not Applicable,0
54,2015,45,Travel_Frequently,Research & Development,3,1,Medical,1,Divorced,35400,1,13,0,24,6,24,9,11,1,1,3,3,Not Applicable,Not Applicable,0
55,2015,31,Travel_Rarely,Sales,16,4,Marketing,2,Divorced,28040,0,19,2,3,0,2,2,2,3,4,1,3,Not Applicable,Not Applicable,0
56,2015,33,Travel_Frequently,Research & Development,9,3,Life Sciences,4,Married,193920,6,12,1,12,3,10,8,8,4,2,3,3,Not Applicable,Not Applicable,0
57,2015,39,Travel_Rarely,Sales,1,4,Life Sciences,1,Married,196650,1,22,1,21,6,21,11,10,3,1,3,3,Not Applicable,Not Applicable,0
58,2015,43,Travel_Frequently,Research & Development,7,4,Medical,4,Single,24390,0,15,0,9,2,8,1,7,3,4,3,3,Not Applicable,Not Applicable,0
59,2015,49,Travel_Rarely,Research & Development,1,3,Life Sciences,3,Single,73140,7,22,0,25,2,7,0,7,3,3,3,3,Not Applicable,Not Applicable,0
60,2015,52,Travel_Rarely,Research & Development,7,1,Life Sciences,2,Married,47740,2,18,1,11,2,8,7,7,3,2,2,3,Resignation,Others,1
61,2015,27,Travel_Rarely,Research & Development,15,4,Medical,3,Single,39020,1,22,0,4,2,4,1,2,3,2,2,3,Not Applicable,Not Applicable,0
62,2015,32,Travel_Rarely,Research & Development,1,3,Life Sciences,3,Married,26620,1,11,1,13,6,13,11,9,3,2,3,4,Not Applicable,Not Applicable,0
63,2015,27,Travel_Rarely,Research & Development,13,2,Medical,4,Single,28560,1,12,2,5,5,5,0,4,4,3,3,4,Not Applicable,Not Applicable,0
64,2015,31,Travel_Rarely,Sales,24,3,Life Sciences,2,Divorced,10810,4,11,3,13,4,7,1,7,4,4,3,4,Not Applicable,Not Applicable,0
65,2015,32,Travel_Rarely,Research & Development,7,3,Technical Degree,2,Single,24720,7,13,0,10,2,7,0,7,1,4,2,3,Not Applicable,Not Applicable,0
66,2015,28,Travel_Rarely,Research & Development,9,4,Medical,1,Married,56730,5,14,1,5,4,3,2,2,1,4,2,2,Resignation,Salary,1
67,2015,30,Travel_Rarely,Research & Development,13,3,Life Sciences,4,Married,41970,1,13,0,11,3,10,1,9,4,4,3,3,Not Applicable,Not Applicable,0
68,2015,31,Travel_Frequently,Research & Development,2,1,Life Sciences,1,Married,97130,1,17,0,10,5,10,8,9,3,3,3,2,Not Applicable,Not Applicable,0
69,2015,39,Travel_Frequently,Research & Development,19,4,Medical,1,Married,20620,1,13,0,21,4,21,13,3,3,4,3,3,Not Applicable,Not Applicable,0
70,2015,39,Travel_Rarely,Research & Development,1,1,Medical,1,Married,42840,4,17,1,12,0,1,0,0,4,3,2,3,Fired,Not Applicable,1
71,2015,33,Travel_Frequently,Sales,4,2,Life Sciences,4,Single,47880,3,11,1,9,0,7,0,1,2,4,2,3,Not Applicable,Not Applicable,0
72,2015,47,Travel_Rarely,Research & Development,4,3,Life Sciences,2,Married,59060,4,23,0,21,4,3,1,1,4,3,3,4,Not Applicable,Not Applicable,0
73,2015,43,Travel_Frequently,Research & Development,14,3,Medical,5,Divorced,38860,1,17,2,9,2,9,0,0,3,3,4,3,Not Applicable,Not Applicable,0
74,2015,27,Non-Travel,Research & Development,2,3,Life Sciences,1,Married,168230,0,17,0,6,3,5,1,4,3,2,3,3,Not Applicable,Not Applicable,0
75,2015,54,Travel_Frequently,Research & Development,1,4,Life Sciences,2,Single,29330,3,12,2,20,2,4,0,3,4,3,2,3,Not Applicable,Not Applicable,0
76,2015,43,Travel_Rarely,Research & Development,7,2,Life Sciences,2,Married,65000,8,23,0,10,3,1,0,0,3,1,2,3,Not Applicable,Not Applicable,0
77,2015,45,Travel_Rarely,Sales,3,1,Marketing,1,Married,171740,9,14,1,12,6,10,9,8,4,4,3,3,Not Applicable,Not Applicable,0
78,2015,40,Travel_Rarely,Research & Development,2,4,Other,4,Married,50330,2,14,2,6,6,4,0,2,2,4,2,3,Not Applicable,Not Applicable,0
79,2015,29,Travel_Rarely,Research & Development,29,3,Medical,1,Married,23070,1,13,1,7,0,7,0,7,2,1,2,3,Resignation,Salary,1
80,2015,29,Travel_Rarely,Human Resources,8,3,Medical,3,Single,25870,0,22,2,4,3,3,2,2,2,4,3,3,Not Applicable,Not Applicable,0
81,2015,30,Travel_Rarely,Research & Development,10,3,Life Sciences,2,Divorced,55070,1,12,2,10,2,10,1,2,4,3,3,2,Not Applicable,Not Applicable,0
82,2015,27,Travel_Rarely,Research & Development,11,2,Medical,1,Married,43930,1,18,1,8,2,8,0,7,2,2,3,2,Not Applicable,Not Applicable,0
83,2015,37,Travel_Rarely,Sales,1,4,Life Sciences,2,Divorced,133480,7,14,0,8,4,6,0,4,4,4,2,3,Not Applicable,Not Applicable,0
84,2015,38,Travel_Rarely,Research & Development,28,4,Medical,1,Divorced,65830,0,12,0,12,1,11,2,9,3,4,3,3,Not Applicable,Not Applicable,0
85,2015,31,Travel_Rarely,Research & Development,6,3,Medical,3,Single,81030,1,15,1,11,5,11,4,10,3,4,3,3,Not Applicable,Not Applicable,0
86,2015,29,Travel_Rarely,Research & Development,3,4,Life Sciences,3,Divorced,39780,1,11,0,7,0,7,1,7,4,2,3,3,Not Applicable,Not Applicable,0
87,2015,35,Travel_Rarely,Sales,16,2,Technical Degree,3,Single,25440,0,13,1,17,3,16,0,13,3,2,3,4,Not Applicable,Not Applicable,0
88,2015,23,Travel_Rarely,Research & Development,20,4,Life Sciences,1,Divorced,53990,1,23,0,4,2,4,0,2,3,4,2,2,Not Applicable,Not Applicable,0
89,2015,41,Travel_Rarely,Research & Development,9,2,Life Sciences,1,Single,54870,6,19,2,8,0,5,1,2,4,2,3,3,Not Applicable,Not Applicable,0
90,2015,47,Travel_Frequently,Sales,1,3,Medical,2,Single,68340,3,16,1,5,2,0,0,0,2,3,3,4,Not Applicable,Not Applicable,0
91,2015,42,Travel_Rarely,Research & Development,3,4,Life Sciences,1,Single,10910,2,22,0,16,0,1,0,0,1,4,3,1,Not Applicable,Not Applicable,0
92,2015,29,Non-Travel,Sales,22,4,Marketing,2,Married,57360,1,22,0,4,1,4,0,2,4,3,2,2,Not Applicable,Not Applicable,0
93,2015,42,Travel_Rarely,Sales,7,4,Medical,3,Divorced,22260,0,12,1,4,3,3,1,0,3,3,3,2,Not Applicable,Not Applicable,0
94,2015,32,Travel_Rarely,Research & Development,2,3,Medical,2,Married,57470,1,13,0,8,0,8,0,7,3,2,3,3,Not Applicable,Not Applicable,0
95,2015,48,Travel_Rarely,Sales,13,4,Medical,4,Married,98540,3,16,1,15,2,0,0,0,1,3,1,2,Not Applicable,Not Applicable,0
96,2015,37,Travel_Rarely,Research & Development,8,5,Technical Degree,2,Divorced,54670,4,12,0,13,2,7,6,7,3,1,3,3,Not Applicable,Not Applicable,0
97,2015,30,Non-Travel,Sales,25,4,Other,1,Married,53800,7,21,1,4,0,2,2,2,4,3,4,3,Not Applicable,Not Applicable,0
98,2015,26,Travel_Rarely,Sales,28,3,Medical,5,Married,51510,1,15,3,8,3,8,7,7,3,3,3,3,Not Applicable,Not Applicable,0
99,2015,42,Travel_Rarely,Sales,2,2,Medical,1,Single,21330,3,13,2,14,2,1,0,0,1,4,3,3,Not Applicable,Not Applicable,0
100,2015,21,Travel_Frequently,Research & Development,9,3,Medical,4,Single,178750,1,12,0,3,5,3,1,2,1,2,3,2,Resignation,Others,1
101,2015,36,Non-Travel,Human Resources,28,3,Human Resources,2,Single,24320,4,22,0,7,4,1,0,0,4,4,3,1,Not Applicable,Not Applicable,0
102,2015,36,Travel_Frequently,Research & Development,6,3,Life Sciences,2,Married,47710,4,13,1,16,2,13,1,12,1,4,3,3,Not Applicable,Not Applicable,0
103,2015,57,Travel_Rarely,Research & Development,21,4,Life Sciences,5,Married,191610,2,18,0,15,2,3,1,2,4,3,3,1,Not Applicable,Not Applicable,0
104,2015,40,Travel_Rarely,Research & Development,8,3,Other,2,Married,50870,3,14,1,10,3,7,1,7,4,3,3,3,Not Applicable,Not Applicable,0
105,2015,21,Non-Travel,Research & Development,1,5,Life Sciences,2,Single,28630,1,14,0,3,2,3,2,2,1,4,2,1,Not Applicable,Not Applicable,0
106,2015,33,Travel_Rarely,Human Resources,28,2,Human Resources,5,Single,55610,1,21,1,1,3,1,0,0,4,3,3,1,Resignation,Salary,1
107,2015,37,Travel_Rarely,Research & Development,5,3,Life Sciences,4,Married,21440,6,19,0,17,3,5,0,3,3,1,3,4,Not Applicable,Not Applicable,0
108,2015,46,Non-Travel,Sales,2,4,Marketing,2,Married,30650,2,11,0,7,3,1,0,0,3,3,4,3,Not Applicable,Not Applicable,0
109,2015,41,Travel_Frequently,Research & Development,16,1,Medical,1,Single,28100,1,11,0,8,3,8,7,7,1,2,3,4,Resignation,Others,1
110,2015,50,Travel_Rarely,Research & Development,9,3,Medical,3,Single,98880,6,15,0,20,2,4,1,3,4,4,3,3,Not Applicable,Not Applicable,0
111,2015,40,Travel_Rarely,Research & Development,8,3,Medical,1,Married,86280,2,20,0,8,2,6,1,0,3,3,3,2,Resignation,Stress,1
112,2015,31,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Single,28670,0,24,0,3,5,2,2,2,3,2,3,3,Not Applicable,Not Applicable,0
113,2015,21,Travel_Rarely,Human Resources,10,2,Human Resources,1,Single,53730,1,12,1,1,2,1,0,0,3,2,3,3,Resignation,Others,1
114,2015,29,Travel_Rarely,Research & Development,1,3,Life Sciences,2,Single,66670,9,12,1,6,6,3,1,2,4,4,3,4,Not Applicable,Not Applicable,0
115,2015,35,Travel_Rarely,Research & Development,29,3,Life Sciences,3,Single,50030,9,15,0,10,2,1,0,0,3,2,3,3,Not Applicable,Not Applicable,0
116,2015,27,Travel_Rarely,Sales,2,3,Life Sciences,1,Divorced,23670,2,12,1,5,2,5,0,4,4,2,3,3,Not Applicable,Not Applicable,0
117,2015,28,Travel_Rarely,Research & Development,2,2,Medical,3,Single,28580,1,12,0,7,2,7,0,7,2,4,3,2,Not Applicable,Not Applicable,0
118,2015,49,Travel_Rarely,Sales,2,3,Technical Degree,2,Single,52040,8,14,1,26,3,5,0,0,2,3,3,3,Not Applicable,Not Applicable,0
119,2015,51,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Married,41050,4,22,1,18,2,7,0,7,3,4,2,3,Not Applicable,Not Applicable,0
120,2015,36,Travel_Rarely,Sales,15,2,Life Sciences,1,Married,96790,4,12,0,6,1,2,2,2,4,3,3,3,Not Applicable,Not Applicable,0
121,2015,34,Non-Travel,Research & Development,7,3,Life Sciences,1,Single,56170,8,25,1,9,3,5,0,4,1,4,2,3,Fired,Not Applicable,1
122,2015,55,Travel_Rarely,Sales,26,3,Marketing,1,Single,104480,2,13,0,30,3,5,1,2,3,4,3,3,Not Applicable,Not Applicable,0
123,2015,24,Travel_Rarely,Research & Development,1,3,Life Sciences,5,Divorced,28970,1,18,3,5,4,5,0,3,4,3,4,3,Not Applicable,Not Applicable,0
124,2015,30,Travel_Rarely,Research & Development,3,3,Life Sciences,2,Married,59680,1,13,0,1,3,1,0,0,3,2,3,3,Not Applicable,Not Applicable,0
125,2015,26,Travel_Frequently,Sales,14,3,Life Sciences,2,Single,75100,0,18,3,7,3,6,0,4,3,3,3,3,Resignation,Stress,1
126,2015,22,Travel_Rarely,Research & Development,16,5,Other,1,Married,29910,1,19,2,2,3,2,1,2,1,2,3,2,Not Applicable,Not Applicable,0
127,2015,36,Travel_Rarely,Research & Development,1,3,Medical,5,Married,196360,1,12,1,10,3,10,9,0,2,3,3,3,Not Applicable,Not Applicable,0
128,2015,30,Travel_Frequently,Sales,3,2,Marketing,3,Single,11290,9,19,0,3,2,1,0,0,3,4,3,2,Resignation,Others,1
129,2015,37,Travel_Rarely,Research & Development,10,1,Technical Degree,1,Divorced,133410,1,14,1,18,3,18,12,17,4,1,2,3,Not Applicable,Not Applicable,0
130,2015,40,Travel_Rarely,Research & Development,6,2,Medical,3,Divorced,43320,7,14,2,8,3,5,1,3,4,2,3,2,Not Applicable,Not Applicable,0
131,2015,42,Travel_Rarely,Research & Development,2,3,Medical,4,Divorced,110310,3,12,1,8,2,5,1,2,2,1,3,2,Not Applicable,Not Applicable,0
132,2015,37,Travel_Rarely,Sales,9,1,Marketing,3,Single,44400,2,11,1,18,3,1,0,1,3,2,2,2,Not Applicable,Not Applicable,0
133,2015,43,Travel_Rarely,Sales,10,2,Life Sciences,1,Divorced,46170,1,11,0,25,2,25,3,9,1,2,3,3,Not Applicable,Not Applicable,0
134,2015,40,Travel_Rarely,Sales,6,2,Life Sciences,1,Married,26470,6,13,0,20,2,1,0,0,2,3,3,2,Not Applicable,Not Applicable,0
135,2015,54,Travel_Rarely,Human Resources,9,3,Life Sciences,2,Married,63230,4,23,1,24,2,4,1,2,1,1,2,2,Not Applicable,Not Applicable,0
136,2015,34,Non-Travel,Research & Development,28,3,Medical,1,Married,56770,9,20,1,6,3,3,1,2,3,3,3,3,Not Applicable,Not Applicable,0
137,2015,31,Travel_Rarely,Research & Development,10,4,Life Sciences,3,Married,21870,1,15,1,13,2,13,3,12,2,1,1,2,Not Applicable,Not Applicable,0
138,2015,43,Travel_Frequently,Sales,14,3,Life Sciences,1,Married,37480,7,14,2,10,3,3,1,2,4,4,3,2,Not Applicable,Not Applicable,0
139,2015,43,Travel_Rarely,Sales,27,4,Life Sciences,2,Divorced,39770,4,18,1,8,3,5,0,2,3,3,3,3,Not Applicable,Not Applicable,0
140,2015,25,Travel_Rarely,Human Resources,7,2,Human Resources,1,Single,86330,1,19,1,5,2,5,1,3,2,4,3,4,Not Applicable,Not Applicable,0
141,2015,37,Non-Travel,Research & Development,1,3,Medical,3,Married,20080,3,22,0,15,5,13,10,7,2,3,3,2,Not Applicable,Not Applicable,0
142,2015,31,Travel_Rarely,Research & Development,24,1,Medical,3,Married,44400,1,13,1,4,2,4,3,2,4,1,3,3,Not Applicable,Not Applicable,0
143,2015,39,Travel_Frequently,Research & Development,26,4,Technical Degree,1,Divorced,30670,1,20,1,21,5,21,1,6,2,3,3,1,Not Applicable,Not Applicable,0
144,2015,56,Travel_Frequently,Research & Development,20,4,Life Sciences,3,Married,53210,9,14,0,36,1,7,7,7,3,1,2,3,Not Applicable,Not Applicable,0
145,2015,30,Travel_Rarely,Sales,5,4,Medical,2,Single,54100,0,17,1,6,2,5,4,4,2,3,3,3,Not Applicable,Not Applicable,0
146,2015,41,Travel_Rarely,Research & Development,7,3,Technical Degree,3,Married,27820,1,14,0,10,2,10,0,7,2,1,3,2,Not Applicable,Not Applicable,0
147,2015,28,Travel_Rarely,Research & Development,7,3,Medical,3,Divorced,119570,1,13,0,10,2,10,1,8,3,1,3,2,Not Applicable,Not Applicable,0
148,2015,25,Travel_Rarely,Research & Development,5,2,Life Sciences,3,Married,26600,5,13,0,6,3,2,0,2,1,1,3,3,Resignation,Salary,1
149,2015,52,Travel_Rarely,Research & Development,26,2,Life Sciences,2,Married,33750,2,21,0,28,2,5,0,4,4,3,3,2,Not Applicable,Not Applicable,0
150,2015,45,Travel_Rarely,Research & Development,2,3,Medical,1,Married,50980,3,14,1,8,4,2,0,2,1,4,2,3,Not Applicable,Not Applicable,0
151,2015,52,Travel_Rarely,Research & Development,12,3,Medical,2,Married,48780,2,11,1,31,3,5,1,4,4,4,1,3,Not Applicable,Not Applicable,0
152,2015,42,Travel_Frequently,Sales,10,3,Marketing,2,Divorced,28370,2,13,1,19,0,5,0,2,1,3,3,2,Not Applicable,Not Applicable,0
153,2015,30,Travel_Rarely,Sales,25,3,Marketing,1,Single,24060,2,20,1,11,5,5,0,2,3,4,3,3,Not Applicable,Not Applicable,0
154,2015,60,Travel_Rarely,Research & Development,10,3,Life Sciences,1,Married,22690,5,18,1,33,4,29,11,10,1,1,1,3,Not Applicable,Not Applicable,0
155,2015,46,Travel_Rarely,Sales,19,4,Marketing,1,Divorced,41080,2,14,0,19,5,10,0,8,3,3,2,2,Not Applicable,Not Applicable,0
156,2015,42,Travel_Frequently,Research & Development,18,4,Technical Degree,4,Married,132060,0,13,2,7,2,6,0,4,4,4,4,3,Not Applicable,Not Applicable,0
157,2015,24,Travel_Rarely,Research & Development,27,2,Medical,1,Single,104220,1,17,1,6,0,5,1,4,1,2,3,2,Resignation,Others,1
158,2015,34,Travel_Frequently,Research & Development,5,3,Medical,2,Divorced,137440,0,20,1,3,3,2,1,0,4,3,2,3,Resignation,Others,1
159,2015,38,Travel_Frequently,Sales,3,3,Marketing,2,Married,49070,1,11,1,1,3,1,0,0,4,4,3,3,Not Applicable,Not Applicable,0
160,2015,40,Travel_Rarely,Sales,26,4,Marketing,1,Married,34820,0,18,1,21,2,20,1,12,3,3,3,2,Not Applicable,Not Applicable,0
161,2015,26,Travel_Rarely,Research & Development,3,2,Medical,4,Divorced,24360,1,24,0,3,2,3,0,2,1,4,1,4,Not Applicable,Not Applicable,0
162,2015,30,Non-Travel,Research & Development,15,3,Medical,2,Married,23800,4,18,3,9,2,5,1,4,3,4,1,2,Not Applicable,Not Applicable,0
163,2015,29,Travel_Rarely,Research & Development,8,3,Medical,3,Married,194310,1,11,0,10,3,10,0,7,2,3,3,3,Not Applicable,Not Applicable,0
164,2015,29,Travel_Rarely,Research & Development,19,4,Life Sciences,3,Married,17900,5,16,1,6,4,2,1,1,3,2,4,2,Resignation,Others,1
165,2015,19,Travel_Rarely,Research & Development,4,3,Medical,1,Single,76440,1,15,2,1,2,1,0,0,1,4,4,3,Fired,Not Applicable,1
166,2015,30,Non-Travel,Research & Development,2,4,Life Sciences,3,Married,51310,0,15,1,10,2,9,7,8,3,1,3,3,Not Applicable,Not Applicable,0
167,2015,57,Travel_Rarely,Research & Development,2,2,Life Sciences,4,Divorced,63060,3,12,1,32,3,1,0,0,1,4,2,3,Not Applicable,Not Applicable,0
168,2015,50,Travel_Rarely,Sales,10,4,Life Sciences,3,Married,47870,0,12,0,28,3,27,15,7,2,3,3,3,Not Applicable,Not Applicable,0
169,2015,30,Non-Travel,Sales,10,2,Life Sciences,3,Single,188800,0,22,1,12,3,11,6,7,3,4,2,3,Not Applicable,Not Applicable,0
170,2015,60,Travel_Frequently,Research & Development,16,3,Life Sciences,4,Married,23390,4,20,0,22,4,18,13,11,3,1,4,3,Not Applicable,Not Applicable,0
171,2015,47,Travel_Rarely,Research & Development,1,3,Technical Degree,5,Divorced,135700,5,16,2,20,2,5,0,4,1,4,3,2,Not Applicable,Not Applicable,0
172,2015,46,Travel_Rarely,Sales,4,1,Technical Degree,1,Married,67120,6,21,1,26,3,3,0,1,1,3,1,2,Not Applicable,Not Applicable,0
